entity,metric,value
providers_raw,completeness_first_name,1.0
providers_raw,completeness_last_name,1.0
providers_raw,completeness_address_line1,1.0
providers_raw,completeness_city,1.0
providers_raw,completeness_state,1.0
providers_raw,completeness_postal_code,1.0
providers_raw,completeness_country,1.0
providers_raw,completeness_provider_id_source,1.0
providers_raw,completeness_npi,0.49641319942611195
providers_raw,completeness_email,0.7950399672063948
providers_raw,completeness_phone,0.9188358270137323
organizations_raw,completeness_org_name,1.0
organizations_raw,completeness_org_type,1.0
organizations_raw,completeness_address_line1,1.0
organizations_raw,completeness_city,1.0
organizations_raw,completeness_state,1.0
organizations_raw,completeness_postal_code,1.0
organizations_raw,completeness_country,1.0
providers_raw,validity_state_ref,0.9856527977044476
organizations_raw,validity_state_ref,0.9787472035794184
providers_raw,suspected_duplicate_row_ratio,0.9083828653412584
organizations_raw,suspected_duplicate_row_ratio,0.8523489932885906
affiliations_raw,completeness_provider_id_source,1.0
affiliations_raw,completeness_org_id_source,1.0
affiliations_raw,completeness_affiliation_type,1.0
affiliations_raw,completeness_start_date,1.0
